meaning_id,mean
5901,ඇලුමයිට්
5902,ආදිශිෂ්‍යාව
5903,අත වැසියෝ
5904,උපාධිධරයෝ
5905,අතවැසියා
5906,ආදිශිෂ්‍යයා
5907,උපාධිධරයා
5908,ඡාත්‍රයා
5909,විද්‍යාසේවියා
5910,ඇලන්ඩම්
5911,ඇලුනයිට්
5912,ඇලුනෝජන්
5913,කන්සිල
5914,මීවදය
5915,ගර්ත්‍ය
5916,ගර්තික
5917,දන්තමූලජ
5918,මූර්ධජ
5919,ගර්තය
5920,ගර්ත
5921,ඇල්වයිට්
5922,නිතර
5923,නොනැවත
5924,සැමදා
5925,සැමවිට
5926,අනවරතයෙන්
5927,තිස්සේ
5928,දවහ
5929,අස්වැන්න
5930,ඉඳිමි
5931,වෙමි යන අරුත
5932,සිටිමි
5933,මුළු වේගයෙන්
5934,මුළු ශක්තියෙන්
5935,එක් කරනවා
5936,ඒකාබද්ධ කරනවා
5937,ඒකාබද්ධ කිරීම
5938,ඒකාබද්ධ වීම
5939,සංකලනය
5940,සංගත කිරීම
5941,සංරසීකරණය
5942,සංසර්ජනය
5943,සංරසීකාරකය
5944,ලිපිකරුවෝ
5945,ලේකම් වරු
5946,ලේඛකයෝ
5947,පිටපත් ලියන්නා
5948,ලිපි ලියන්නා
5949,ලිපිකරුවා
5950,ලේකම්
5951,ලේඛක
5952,තම්පලා
5953,එක්කාසු කරනවා
5954,ගොඩ ගසනවා
5955,ගොඩ ගහගන්නවා
5956,ගොඩ ගහනවා
5957,අවෘත්තීය
5958,ආධුනික
5959,ප්‍රෙමශීලි
5960,ප්‍රේමාතුර
5961,රාගශීලී
5962,රාගික
5963,ඇමටොල්
5964,කාමුක
5965,රතිකාමී
5966,රාගාන්විත
5967,ඇමොරෝසියාව
5968,පුදුමයට පත් කරනවා
5969,භයට පමුණනවා
5970,මවිත කරනවා
5971,වික්ෂේපයට පමුණනවා
5972,විමතියට පත් වෙනවා
5973,විස්මයට පත් වෙනවා
5974,විස්මයට පමුණනවා
5975,භයට පමුණුවන
5976,මවිත කරන
5977,වික්ෂේපයට පමුණුවන
5978,විස්මයට පමුණුවන
5979,මවිත කිරීම
5980,මවිතය
5981,විස්මය
5982,යුධකාමී ස්ත්‍රී
5983,යෝදි
5984,ඇමසොනයිට්
5985,අම්බලම
5986,තානාපති
5987,රාජදූතයා
5988,තානාපති සේවය හා සම්බන්ධ
5989,අරුණ වර්ණය
5990,අරුණු වර්ණය
5991,ඇම්බර
5992,ඇම්බර්
5993,කහ පාටට හුරු
5994,කහපාටට හුරු
5995,තෘණමණි
5996,තල් මසුන් බඩේ හැදෙන සුවඳ ජාතියක්
5997,තල්මසුන්ගේ බඩවැලේ ඇති වන සුවඳ වර්ගයක්
5998,නිවර්තන කලාපීය මුහුදු මත ඇති වන සුවඳ වර්ගයක්
5999,ඇම්බරයිට්
6000,උභය
6001,දෙපිටකාට්ටුවා
6002,දෑත ම හුරුකම
6003,දෑතහුරු
6004,දෑත් හුරුව
6005,දෙපිටකාට්ටු
6006,පරිමණ්ඩිත
6007,අනේකාර්ථය
6008,අර්ත ව්‍යාකුල බව
6009,උභයාර්ථතාව
6010,උභයාර්ථය
6011,බහු අර්ථතාව
6012,බහුඅර්ථතාව
6013,බහුරුත් බව
6014,බහුරුන් බව
6015,අර්ථ දෙකක් ඇති
6016,අස්පෂ්ට
6017,උභයාර්ථ
6018,උභයාර්ථවාචී
6019,දෑත කැපෙන
6020,උභය පාර්ශ්වික
6021,උභයපාර්ශ්වීය
6022,පරිමාණය
6023,අභිලාෂය
6024,උන්නතිකාමය
6025,උසස් වීමේ ආශාව
6026,කීර්තියට අභිලාෂය
6027,දියුණුවීමේ ආශාව
6028,පරමාර්ථය
6029,බලයට අභිලාෂය
6030,මනදොළ
6031,මනෝරථය
6032,මහේච්ඡාව
6033,විගීෂාව
6034,හිවියැටිය
6035,කැමති
6036,මහාඅපේක්ෂා සහිත
6037,මහේච්ඡ
6038,උභයවේගිතාව
6039,උභයාවේගිකතාව
6040,උභයාවේගිතාව
6041,සැකමුසු හැඟීම
6042,උභයවර්තිකයා
6043,උභය වර්තනය
6044,උභයවර්තනය
6045,උභයවර්තකයා
6046,ඇවිදිනවා
6047,පැද්දි පැද්දී යනවා
6048,හීන් පිම්මෙන් දුවනවා
6049,හෙමින් යනවා
6050,ඇම්බ්ලිගොනයිට්
6051,ඇම්බිලියෝමා
6052,ඇමබිලියෝපියාව
6053,හීනවාක්ෂුසය
6054,තිමිරේක්ෂය
6055,ඇම්බොසෙප්ටරය
6056,උභයග්‍රාහකය
6057,ප්‍රතිශක්ති දේහය
6058,ඇම්බ්‍රියොන්
6059,ඇම්බ්‍රයිට්
6060,ඇම්බ්‍රෝනය
6061,අම
6062,අමෘතය
6063,දිව්‍ය භෝජනය
6064,දෙවියන්ගේ ආහාරය
6065,සුධා
6066,සුධා භෝජනය
6067,අමාර්තකය
6068,අමෘතමය
6069,ඉතා ප්‍රණීත
6070,චරණාර
6071,ගිලන් රථය
6072,ගිලන්‍රථය
6073,ගිලන්‍රිය
6074,සංචාරණය කරනවා
6075,සක්මන් කරනවා
6076,ඇවිදින
6077,පහර ගැසීමට රකිනවා
6078,පහර දීමට රකිනවා
6079,පහර දීමට රැක සිටීම
6080,රහසින් රැකසිටීම
6081,සැගවී සිට පහර දෙනවා
6082,සිටින තැන
6083,සිටින සේනාව
6084,පහර දීමට රැක ඉන්නවා
6085,පහර දීමට රැක සිටිනවා
6086,ක්ෂුද්‍ර ප්‍රාණි විශේෂයක්
6087,අයාන්ත්‍රික
6088,ඇ්ගනිස්තානයේ රජ
6089,මුස්ලිම් රටවල රජදරුවෙක්
6090,දියුණු කරනවා
6091,දියුණු වෙනවා
6092,වැඩි දියුණු කරනවා
6093,දියුණු කිරීම
6094,වැඩි දියුණුව
6095,දියුණු වන
6096,එසේ වේවා
6097,ඒ එසේ වේවා
6098,සාධු
6099,අවනත
6100,අවවාදයට නැමෙන
6101,කීකරු
6102,නම්‍ය
6103,නැමෙනසුලු
6104,වගකියයුතු
6105,විනීත
6106,විනේය
6107,ශික්ෂාකාමී
6108,සුඛනම්‍ය
6109,සුනම්‍ය
6110,හීලෑ
6111,කීකරු ලෙස
6112,හීලෑ කරනවා
6113,වරද හරිනවා
6114,සංශෝධනය කරනවා
6115,ඇහුම්කන් දෙන
6116,අතුරු යෝජනාව
6117,වඩා යහපත් කිරීම
6118,වෙනස් කිරීම
6119,ශුය
6120,සංශෝධකය
6121,හානිසහනය
6122,වන්දි ගෙවීම
6123,වරද පිරිමැසීම
6124,පහසුකම්
6125,මනෝඥ ලක්ෂණ
6126,සැපපහසුකම්
6127,සුව පහසුකම්
6128,සුවපහසුකම්
6129,අනාර්තවය
6130,ඇමිනෝරියාව
6131,ඔසප් නොවීම
6132,අමනයා
6133,ඇමෙන්ටම
6134,පුච්ඡය
6135,පුච්ඡරූපී
6136,අමනස්‍යය
6137,සිහිවිකල බව
6138,සිහිවිකලබව
6139,පුච්ඡධර
6140,අමෙන්ටිප්ලෝරේ
6141,අහිමි කරනවා
6142,දජුවම් කරනවා
6143,දඩ ගසනවා
6144,ඉච්ඡා දණ්ඩය
6145,අමෙරිකාව
6146,ඇමෙරිකානු
6147,ඇමෙරිසියම්
6148,විකිරණශීලීතාවෙන් යුත් කෘත්‍රිම ලෝහමය මූලද්‍රව්‍යයක්
6149,ඇමරින්දියානු
6150,ඇමරින්දියානුවා
6151,අණුමයික්‍රෝනය
6152,ඇමෙසයිට්
6153,ඇමිතොකේන්
6154,ඇමිතොප්ටෙරින්
6155,අමතේස්ත
6156,අඹතේස්ත
6157,දෘෂ්ටිභ්‍රමමානය
6158,දෘෂ්ටිභ්ර්රමය
6159,ඉතියෝපියානු භාෂාවක්
6160,ඉතා ප්‍රිය උපදවීම
6161,ගුණවත්කම
6162,මිත්‍ර ලීලාවෙන්
6163,සමගියෙන්
6164,අතර
6165,අතරේ
6166,මධ්‍යයේ
6167,මැද
6168,ඇමයිඩේස්
6169,ඇමයිඩ්කරණය
6170,ඇමයිඩය
6171,ඇමිඩොපයිරින්
6172,ඇමයිඩොක්සිල්
6173,නැව මැද
6174,අනිඟියාව
6175,ඇමයිනීකරණය
6176,ඇමයින්
6177,රසායන සංයෝගයක්
6178,ඇමයිනෝ අම්ලය
6179,ඇමයිනොයිඩ්
6180,ඇමිනොප්ටෙරීන්
6181,ඇගනිස්තානයේ රජ
6182,අනිසිව
6183,අනුවත
6184,වරදවා
6185,වැරදි
6186,වැරදි ලෙස
6187,වැරදියට
6188,සදොස්
6189,සදොස්ව
6190,නැති විය හැකි
6191,සරල විජානනය
6192,සරල විභාජනය
6193,සරල විභාජක
6194,නුමුහුම
6195,ඇමීටරය
6196,ඇම්මයින්
6197,ඇම්මයිනො
6198,ඇම්මයොලයිට්
6199,ඇම්මයිට්
6200,ඇමෝනැල්
6201,ඇමෝනේට්
6202,ඇමෝනියා
6203,ඇමෝනියා වායු මිශ්‍ර දිය
6204,ඇමෝනියා වායුව
6205,වාෂ්පශීල ක්ෂාරය
6206,ඇමෝනීය
6207,ඇමොනීකරණය
6208,ඇමෝනීකරණය
6209,ඇමෝනි කිරීම
6210,ඇමෝනීකාරී
6211,අත්තක් මෙන් හැඩ වූ පොසිල
6212,ඇමොනයිට්
6213,ඇමොනීටයා
6214,ඇමෝනියම්
6215,ඇමෝනොබැක්ටීරීයා
6216,ඇමෝනියා විච්ඡේදනය
6217,වාලුකාමි
6218,උණ්ඩ
6219,තුවක්කු
6220,පතරොම්
6221,වෙඩි බෙහෙත්
6222,අවසිහිය
6223,විස්මෘතිය
6224,සමාව දෙනවා
6225,දඩසමාව
6226,පොදු සමාව
6227,පොදුසමාව
6228,රාජ්‍ය සමාව
6229,රාජ්‍යසමාව
6230,ඇම්නියන
6231,උල්බය
6232,ඇමීබා
6233,ඒක සෛල ඡීවියා
6234,ඇමීබයසියාව
6235,ඇමිබානාශකය
6236,අමීබාභ
6237,ඇමීබාකාර
6238,අමොක්
6239,අමොක් උන්මාදය
6240,උමතු වැටී
6241,දුටු දුටුවන් මරමින්
6242,වියරු වැටී
6243,වියරුවී
6244,අව්‍යාකෘත
6245,ආචාරශීලී නොවූ
6246,නිරාචාරවත්
6247,නිරාචාරී
6248,විශීල
6249,නිරාචාරවාදය
6250,කුමර මල්සර
6251,ප්‍රේමවන්තයා
6252,අනුරාගී
6253,අස්විටිකතාව
6254,නිහැඩවීම
6255,ඇමෝපොපැලස්
6256,අනියතාකාර
6257,අස්ඵටික
6258,අස්ඵුටික
6259,නියම හැඩහුරුකමක් නැති
6260,නිරූපමය
6261,නිහැඩ
6262,විරූපී
6263,අස්ඵටික වීම
6264,ක්‍රමක්ෂය
6265,ක්‍රමපක්ෂයය
6266,කාලික ණය නිදහස් කිරිම
6267,ක්‍රමක්ෂය කරනවා
6268,ණය හිලව් කරනවා
6269,ඇමොසයිට්
6270,ප්‍රේමසම්බන්ධය
6271,ඇම්පි
6272,ඇම්පෙලයිට්
6273,ඇම්පියරතාව
6274,ඇම්පියරය
6275,ඇම්පියර පැය
6276,ඇම්පියර වටය
6277,ඇම්පියරොමිතිය
6278,ඇම්පෙටමින්
6279,උභපාර්වය
6280,උභයවීහු
6281,උභයචර
6282,උභයවි
6283,උභයවී
6284,උභය වි
6285,වාක්ඡලය
6286,උභයවර්ණක
6287,උභය ප්ලෝයමීය
6288,උභය ගුප්ත ශාකය
6289,අම්පිගස්ත්‍රිය
6290,ජඨරපත්‍රය
6291,උභයජායාංගී
6292,දෙමුහුව
6293,සංයෝගතාව
6294,උභය ශාකය
6295,ඇම්පියොක්සස්
6296,උභයශාකය
6297,උභයප්‍රෝටෝනික
6298,අර්ධමණ්ඩල රංගපීඨය
6299,මණ්ඩල මාලය
6300,මණ්ඩලමාලය
6301,රංගපීඨය
6302,රංගභූමිය
6303,රංගාවාටය
6304,අම්පිතීසිය
6305,බහිෂ්කලාපය
6306,උභයකේශරී
6307,අඩකුරු
6308,උභය ශෛලමය
6309,උභය ශෛලමීය
6310,ඇම්පෝරාව
6311,ග්‍රීසියේ හෝ රෝමයේ භාවිත කරන මිටවල් දෙකක් ඇ
6312,උභයගුණී
6313,ආලිංගික
6314,ඇම්ප්ලිඩයිනය
6315,වර්ධිත
6316,වර්ධකය
6317,විකාශන යන්ත්‍රය
6318,විස්තාරකය
6319,ශබ්ද වාහිනිය
6320,ශබ්දවාහිනිය
6321,වර්ධක
6322,විශාලත්වය
6323,විස්තාරය
6324,එන්නත් කිරීමට ඇති ද්‍රාවණය බහා ඇති මුද්‍රා තබන ලද
6325,කුම්බිකාව
6326,පලිඝය
6327,අතු කපා දමනවා
6328,අවයව කපනවා
6329,අවයව කපා දමනවා
6330,ඡේදනය කරනවා
6331,අංගච්ඡෙදනය
6332,අංගඡේදනය
6333,ඡේදනය කිරීම
6334,විශසනය
6335,කවචය
6336,පරිත්‍රය
6337,යන්තරය
6338,යන්ත්‍ර
6339,සුරය
6340,යන්ත්‍රගල
6341,විනෝද වෙනවා
6342,ප්‍රමෝදනය
6343,බහුරූ
6344,විනෝදය
6345,විනෝදාත්මක ක්‍රියාව
6346,සෙල්ලම
6347,ඇමියුසියාව
6348,විනෝදජනක
6349,විනෝදය උපදවන
6350,හාස්‍ය ජනක
6351,කසනය
6352,ඇමිග්ඩලේස්
6353,ඇමිග්ඩලින්
6354,පිෂ්ට
6355,ඇමයිලේස්
6356,ඇමිලේස්
6357,ඇමිලොබැක්ටර්
6358,ඇමයිලොසෙලියුලෝස්
6359,ඇමයිලොඩෙක්ස්ට්‍රින්
6360,ඇමයිලොඑරිත්‍රින්
6361,ඇමිලොමානය
6362,පිෂ්ටමය
6363,ඇමිලො විච්ඡේදනය
6364,ඇමයිලොලිටික
6365,ඇමිලොවිච්ඡේද
6366,ඇමයිලොපෙක්ටින්
6367,පිෂ්ට ලවය
6368,පිෂ්ටලවය
6369,ඇමයිලෝස්
6370,ඇමයිලොප්සින්
6371,පිෂ්ට තුලාශ්මය
6372,ඇමයිලම්
6373,එක්
6374,ඇනබසීන්
6375,ප්‍රතිප්‍රාන්ත ගමන
6376,උඩුමුවා
6377,උඩුසර
6378,ප්‍රතිප්‍රාන්ත
6379,සංවෘත්ති
6380,උක්ඛිත්තිය
6381,සංවෘත්තිය
6382,සංවෘත්තිජය
6383,කාල විරෝධය
6384,කාලව්‍යතික්‍රමය
6385,වර්තක
6386,ප්‍රත්‍යභිනතිය
6387,ප්‍රත්‍යවපාතය
6388,ආදිසංගික
6389,ඇනකොන්ඩා නමැති දැවැන්ත සර්පයා
6390,අනග්‍රජායාංගී
6391,ප්‍රතිස්‍රෝතගාමි
6392,ප්‍රතිස්‍රෝතගාමී
6393,නීරක්තිය
6394,පාණ්ඩුව
6395,රක්තහීනතාව
6396,ලේ අඩුකම
6397,පිපිහළු
6398,ලේ අඩු
6399,නිර්වායු ජීවියා
6400,නිර්වායු වියා
6401,නිර්වායුවියා
6402,නිර්සානිලයා
6403,නිර්වායු ජීවනය
6404,නිර්වින්දනය
6405,නිර්වින්දක
6406,නිර්වින්දකය
6407,නිර්වින්දන
6408,නිශ්චේතක
6409,නිශ්චේතකය
6410,නිෂචේතකය
6411,වේනාව වළකන
6412,නිර්වින්දකයා
6413,වර්ණ විපර්ය්‍යය
6414,උන්නත රූප
6415,උන්නතරූපේක්ෂය
6416,ගූඩ අර්ථකථනය
6417,ආලාක්ෂික
6418,සාමුක්කංසික
6419,වර්ණ විපර්යාසය
6420,වර්ණවිපර්යාසය
6421,ගුද
6422,ඇනල්සයිම්
6423,ඇනල්සයිට්
6424,සුභාෂිත වාක්‍යය
6425,ඇනලේමාව
6426,අනර්දනය
6427,රුජානසනය
6428,නිර්වේදනික
6429,රුජා නසන
6430,රුජා නැසීම
6431,ප්‍රතිසමය
6432,සාදෘශ්‍ය
6433,ආනුෂංගික
6434,තුල්‍යරූප
6435,සාදෘශ්‍ය තර්කය
6436,සාදෘශ්‍යතර්කය
6437,සාදෘශ්‍යවාදය
6438,ප්‍රතිසම
6439,උපමිතිය
6440,ප්‍රතිසමතාව
6441,විශ්ලේෂණය කළ හැකි
6442,විශ්ලේෂණීය
6443,විශ්ලේෂ්‍ය
6444,බෙදා වෙන්කරනවා
6445,විග්‍රහ කරනවා
6446,විභාග කරනවා
6447,විශ්ලේෂණය කරනවා
6448,විශලේෂකය
6449,විශ්ලේෂකය
6450,බෙදා වෙන් කිරීම
6451,ව්‍යාකෘතිය
6452,රස පරීක්ෂක
6453,රසපරීක්ෂක
6454,විශ්ලේෂක
6455,විශ්ලේෂකයා
6456,විග්‍රහාත්මක
6457,විශ්ලේෂී
6458,තාත්වික
6459,ප්‍රභේද පරික්ෂා කරන
6460,විශ්ලේෂ
6461,විශ්ලේෂණයෙන්
6462,විස්තර විභාග වශයෙන්
6463,විශ්ලේෂණීයත්වය
6464,විශ්ලේෂතාව
6465,විෂමේක්ෂය
6466,ප්‍රතිස්මරණය
6467,ප්‍රතිස්මෘතිය
6468,ස්මරණය
6469,සිහිකිරීම
6470,විරූපිතය
6471,අන්නාසි
6472,විලම්බිතව
6473,වායු ගණය
6474,වියුගණය
6475,සගණය
6476,වියෝග කලාව
6477,වියෝගකලාව
6478,විස්පර්ශය
6479,ඇනෝඩාගමනය
6480,අසංරක්ෂිත
6481,අසංරක්ෂණත්වය
6482,අසංරක්ෂත්වය
6483,ස්වරභක්ති
6484,අවුල් වියවුල් ඇති
6485,අරාකවාදය
6486,අරාජකත්වය
6487,අරාජිකත්වය
6488,ස්වෛරී වාදය
6489,ස්වෛරීවාදය
6490,රජයත් නීතියත් අවලංගු කරන්නා
6491,අරාජසම්මේලවාදය
6492,අරාකත්වය
6493,අනාර්ත්‍රියාව
6494,ස්වනභංගය
6495,උච්ජූනය
6496,සිරස් භූස්පන්දන
6497,අනපේරණ
6498,ජාලයෝගය
6499,ප්‍රාභිමුඛණය
6500,ප්‍රාභිමුඛිතය
6501,යෝගය
6502,සම්මුඛනය
6503,සම්මුඛය
6504,ඇනටේස්
6505,අතිශය පිළිකුල
6506,අභිශාපය
6507,ජුගුප්සාව උපදවන දේ
6508,ශරීරය පිළිබඳ
6509,ව්‍යවච්ඡෙදක
6510,ව්‍යවච්ඡේදක
6511,ව්‍යවච්ඡේදකයා
6512,ශරීරස්ථානය දත් තැනැත්තා
6513,ව්‍යවච්ඡෙදය
6514,ව්‍යවච්ඡේද විද්‍යාව
6515,ව්‍යවච්ඡේදය
6516,ව්‍යවඡේදය
6517,ව්‍යහ විද්‍යාව
6518,යටිකුරු
6519,ආදිජයා
6520,ආදිපුරුෂයා
6521,පුර්වජයා
6522,පූර්වජයා
6523,මුතුන් මිත්තා
6524,මුතුන්මිත්තා
6525,මුතුමිත්තා
6526,මුතුන් මිත්තෝ
6527,ආදිකාලීන
6528,ආදිජ
6529,පරම්පරාගත
6530,පරවෙණි
6531,පාරම්පරික
6532,පුර්වජ
6533,පූර්වජ
6534,පෞරාණික
6535,මුතුන්මිත්
6536,වංශානුගත
6537,මුතුන් මිත්තියෝ
6538,කුල පරම්පරාව
6539,පරපුර
6540,ආරක්ෂාව
6541,නැංගුරම් ගාස්තුව
6542,නැංගුරම් ලෑම
6543,නැංගුරම්පළ
6544,ලකනැකිය
6545,ලැංකුරම් ගාස්තුව
6546,අරණ්‍යවාසියා
6547,ආරණ්‍යකයා
6548,හාල්මැස්සා
6549,අතිපූර්ව
6550,අතීත
6551,ආදි
6552,අනු
6553,අනුයාත
6554,උපබද්ධ
6555,උපයෝගී
6556,උපසේවී
6557,යටත්
6558,සමග යොදුණු
6559,සහයෝගී
6560,මහා අල්තාර මණ්ඩලය
6561,එවිට
6562,ත්
6563,ද
6564,පිණිස
6565,සහ
6566,අඳය
6567,ඇන්ඩලුසයිට්
6568,අන්දමනිකයෝ
6569,විලම්බිත රාගය
6570,ඇන්ඩසීන්
6571,ඇන්ඩසයිට්
6572,ගිනි උදුනක දර දහනයට පහසු වන සේ තනා ඇති ලෝ
6573,ඇන්ඩොරයිට්
6574,ඇන්ඩෝස්
6575,ඇන්ඩ්‍රඩයිට්
6576,පූමිශ්වරත්වය
6577,පුංසෛලය
6578,පුංද්විගෘහික
6579,පුමංගී
6580,පුමංගය
6581,ඇන්තරීඩිය
6582,ශුක්‍රාණුධානිය
6583,ශුක්‍රාණුව
6584,පුංබීජාණුව
6585,පුංජායාංගධරය
6586,පුංඡායාංගධාරී
6587,පුංජායාංගී
6588,ඒකගෘහිකතාව
6589,පුංජායාංගතාව
6590,පුංඒකගෘහික
6591,මනුකාමියා
6592,ඇන්ඩ්‍රොපෝරය
6593,පුමංගධරය
6594,ඇන්ඩ්‍රොස්පොරැන්‍ය
6595,පුංබිජාණුධානිය
6596,ඇන්ඩ්‍රොස්පෝරය
6597,පුංබිජාණුව
6598,දොඩවන මහලු කාලය
6599,අතුරුකථාව
6600,උපඛ්‍යානය
6601,උපාඛ්‍යානය
6602,කෙටි කතාව
6603,ප්‍රතිරාවය නැති
6604,නිෂ්ප්‍රත්‍යාස්ථ
6605,නිෂ්ප්‍රත්‍යාසථතාව
6606,අවිද්‍යුත්තානය
6607,වාතව්‍යාප්තිය
6608,වාතව්‍යාප්ත
6609,වාතව්‍යාප්තතාව
6610,අනිලප්‍රස්තාරය
6611,අනිල දර්ශකය
6612,අනිලමානය
6613,අනිලමාපකය
6614,ඇනිමෝමීටරය
6615,වාතකාමී
6616,වාතභීතික ශාකය
6617,වාතවිරත ශාකය
6618,වාතභීතික
6619,වාතවිරත
6620,අනිලානුවර්තනය
6621,නිෂ්පාලික
6622,උදෙසා
6623,අන්‍රෙගුම
6624,නිර්ද්‍රව
6625,නිර්ද්‍රව පීඩනමානය
6626,නිර්ද්‍රව පීඩනදර්ශකය
6627,ඇනිමොසයිට්
6628,ඇනියුරින්
6629,උපුලුව
6630,අංගරිය
6631,ඒන්ජලය
6632,දෙව්දුව
6633,දේවදූතයා
6634,පිහිටක් සලසන තැනැත්තා
6635,සුරදූතයා
6636,ඉතා කරුණාවන්ත
6637,දිව්‍යමය
6638,සුවඳවත් ශාඛ විශේෂයක්
6639,දේවමාතාවට කරන විශේෂ යාච්ඤාව
6640,උදහස
6641,එදිරිය
6642,ක්‍රෝධය
6643,කේන්තිය
6644,කෝ
6645,කෝප කරනවා
6646,අධික වෙහෙස නිසා ඇතිවන පපුවේ රිදුම
6647,ආවෘතඵලීන
6648,වාහිනී විද්‍යාව
6649,ඇංගියෝනියුරෝසියාව
6650,ආවෘතබීජකය
6651,විවෘතබීජක ශාකය
6652,අන්ගියොස්පෙර්මේ
6653,ආවෘතබීජක
6654,අන්ගියොස්පෙර්මීය
6655,අන්ගියොස්පෝරේ
6656,ආවෘතබීජාණුක
6657,ඇමක් දමනවා
6658,හැඩයකඩ
6659,මාළු අල්ලන්නා
6660,ඇංග්ලසයිට්
6661,එංගලන්ත සභාවට අයිති
6662,ඉංග්‍රීසි පන්නය
6663,ඉංග්‍රීසි පන්නයට හරවනවා
6664,ඉංග්‍රීසි භාෂාවට හරවනවා
6665,ආංගලීය
6666,ඉංග්‍රීසි
6667,ඉංග්‍රීසි පිස්සුව
6668,ඉංග්‍රීසියට විරුද්ධ බව
6669,ඉංග්‍රීසීන් නුරුස්නා අය
6670,ඉංග්‍රීසීන් නුරුස්නා බව
6671,ඇංගෝරා
6672,ඇන්ගෝරා සතාගේ ලෝමවලින් සාදන පිළී
6673,තරහෙන්
6674,උරණ
6675,කිපුණු
6676,කුපිත
6677,තරහ
6678,විරසක
6679,සරොස්
6680,කාංසාව
6681,සාංකාව
6682,ඇංග්ස්ට්‍රම් ඒකකය
6683,ආශ්‍රය කිරීමට දුෂ්කර
6684,උල් වූ
6685,කෙට්ටු
6686,කොන් ඇති
6687,කෝණාකාර
6688,කෝණික
6689,අනනුවර්තිතාව
6690,නිස්ස්වාදනය
6691,අනාර්ද්‍රක
6692,ප්‍රතිස්වේද
6693,ඇන්හයිඩ්‍රයිඩය
6694,නිර්ජලකය
6695,ඇන්හයිඩ්‍රයිට්
6696,නිර්ජලීය
6697,වියලි
6698,අමුණ
6699,ඇනිලයිඩ
6700,ඇනිලයිනේට්
6701,ඇනිලින්
6702,අනිමාව
6703,ආත්මය
6704,ප්‍රාණය
6705,ගර්හාව
6706,දෝෂ විවේචනය
6707,දොස් කියනවා
6708,නුගුණ කියනවා
6709,තිරච්ඡාන
6710,තිරශ්චීන
6711,තිරිසන්
6712,තිරිසනා
6713,පශු
6714,ප්‍රාණියා
6715,ප්‍රාණී
6716,මෘග
6717,ශාරීරික
6718,සත්ව
6719,සත්ව ගණයට අයත්
6720,සත්වයා
6721,සතා
6722,සීපා සතා
6723,සීපාවා
6724,අණුකයා
6725,ක්ෂුද්‍ර ප්‍රාණියා
6726,අනිමාලියා
6727,කාමරාගය
6728,සත්වෝත්තරවාදය
6729,තිරිසන්කම
6730,උනන්දු
6731,සව දෘෂ්ටිය
6732,සවතා ද්‍රෘෂ්ටිය
6733,ඇනිමිකයිට්
6734,ජීවවාදය
6735,ප්‍රාණ වාදය
6736,ප්‍රාණවාදය
6737,වවාදය
6738,සර්වසව වාදය
6739,සවවාදය
6740,සවවාදියා
6741,ප්‍රණවාදී
6742,සවවාදික
6743,අමනාපය
6744,සර්වසව වාදියා
6745,ඇනායනය
6746,කෝෂයක සෘණ ආරෝපණයක් ඇති අයනය
6747,ඇනායනාවර්තනය
6748,අසමෝදගම්
6749,අසමකොටිල
6750,අසමබීජපත්‍රී
6751,අසමකොටි ලතාව
6752,අසමබීජපත්‍රීතාව
6753,අසමජන්මාණුව
6754,අසමජන්මාණුක
6755,අසමජන්මාණුකතාව
6756,අසමයෝගය
6757,අසමාවයවික
6758,අසමාංක
6759,විෂමවර්තන දෘෂ්ටිකතාව
6760,අසමදල
6761,අසමපත්‍රී
6762,අසමපත්‍රතාව
6763,අසමමණිපත්‍රී
6764,අසමබීජාණුව
6765,අසමරේණුක
6766,අසමපංක්තික
6767,අසමකීලතාව
6768,අසමාභිසාරක
6769,අසමවර්තතාව
6770,සමසාර්වදිශතාව
6771,ඇනිසොයිල්
6772,ඇනිසිල්
6773,ඇස්වටය
6774,ගුල්එය
6775,ගුල්ඵය
6776,බොලට
6777,වලලුකර
6778,වළලුකර
6779,ගිගිරි
6780,ගෙජ්ජ
6781,නූපුර
6782,නූපුරය
6783,පාදගම
6784,පාසලඹ
6785,සරණ වළා
6786,සරණ වැල
6787,සලඹ
6788,සළඹ
6789,සිලම්බු
6790,හලං
6791,ඇටමිදුලු දිය වීම නිසා සන්ධි දැඩිවීම
6792,ඇන්කයිලෝසියාව
6793,සන්ධි ස්තබ්ධය
6794,මූලාකෘතිය
6795,මෞලය
6796,ඇනා
6797,ඉතිහාසය
6798,පිළිවෙළ කථාව
6799,පුරාවෘත්ත
6800,ඉතිහාස කර්තෘ
6801,අනුවාර්ෂික
6802,අනුවාර්ෂික වාර්තා
6803,අන්නාත්තො
6804,පණ පොවනවා
6805,පන්නය බාල කරනවා
6806,පන්නරය බාල කරනවා
6807,මෘදු කරනවා
6808,මෙලෙකනවා
6809,මෙළෙකනවා
6810,රත් කොට පාට පොවනවා
6811,මෙළෙකු
6812,පන්නය බාල කිරීම
6813,වාලසික
6814,ඇනිලිඩා
6815,ඇනරොඩයිට්
6816,අල්ලාගැනීම
6817,ඈඳීම
6818,යා කර ගැනීම
6819,යා කිරීම
6820,යාකර ගැනීම
6821,අනුබැඳිය
6822,අමතර ලිපිය
6823,ඇමුණුම
6824,ඈඳූම
6825,උපගෘහය
6826,උපාංගය
6827,ඒකාබද්ධ
6828,යා කළ
6829,සංහාරය
6830,ගොම ගෑවිලා යනවා
6831,නසනවා
6832,උච්ඡේදනය
